"TIEMPO, HRS",LECTURA CABEZA,,"TIEMPOS, HRS",LECTURA LINEA,,,,,"INTER TIME, HRS",INTER LECTURA CABEZA,INTER LECTURA LINEA,,"GASTO, MMPCD",,PRESIÓN CABEZA,PRESIÓN LINEA,Delta P
5.327652068,7.031310705,,5.445461337,8.663629467,,,,,5.327652068,7.031310705,8.65217828,,0.66768409,,988.7866046,748.60189,240.1847147
5.383273516,7.038312251,,5.573188408,8.669763402,,,,,5.383273516,7.038312251,8.656715808,,0.669859428,,990.7567868,749.3872859,241.3695009
5.449874579,7.042959008,,5.633092269,8.668772264,,,,,5.449874579,7.042959008,8.663841408,,0.670452053,,992.0654318,750.6214794,241.4439524
5.51651473,7.03053233,,5.693015596,8.667774744,,,,,5.51651473,7.03053233,8.667041718,,0.664240232,,988.5676968,751.1761215,237.3915753
5.571884789,7.024856064,,5.761367884,8.667877979,,,,,5.571884789,7.024856064,8.669700797,,0.661140953,,986.9720544,751.6371191,235.3349353
5.637843142,7.037027318,,5.820449005,8.673400617,,,,,5.637843142,7.037027318,8.668693178,,0.666797463,,990.3950694,751.4624142,238.9326551
5.693263859,7.031341377,,5.881653219,8.66470503,,,,,5.693263859,7.031341377,8.667775119,,0.664448399,,988.7952311,751.3032551,237.4919759
5.759823091,7.025606043,,5.949076453,8.671048767,,,,,5.759823091,7.025606043,8.667875646,,0.661860952,,987.1828053,751.3206821,235.8621232
5.826009707,7.026243901,,6.010347018,8.663422992,,,,,5.826009707,7.026243901,8.672610581,,0.66114998,,987.3620672,752.1417428,235.2203244
5.94731805,7.027419762,,6.068390259,8.675423345,,,,,5.94731805,7.027419762,8.670883322,,0.662040765,,987.6925702,751.8421758,235.8503943
6.068000365,7.036329821,,6.13723107,8.675055917,,,,,6.068000365,7.036329821,8.675342735,,0.665094202,,990.1987471,752.6157158,237.5830313
6.135454859,7.025468359,,6.197839923,8.672954499,,,,,6.135454859,7.025468359,8.675065397,,0.660284017,,987.1441133,752.5675964,234.5765168
6.324977152,7.018873468,,6.258376533,8.671761658,,,,,6.324977152,7.018873468,8.676965758,,0.656917995,,985.2916953,752.8973477,232.3943476
7.058913123,6.985772744,,6.318180338,8.676247063,,,,,7.058913123,6.985772744,8.684011042,,0.640426364,,976.0204166,754.1204777,221.8999389
7.3189447,6.986103059,,6.385946477,8.683412653,,,,,7.3189447,6.986103059,8.689520728,,0.639370851,,976.1127191,755.0777049,221.0350142
7.378616465,6.987857008,,6.445542912,8.687966056,,,,,7.378616465,6.987857008,8.682577578,,0.641686897,,976.6029113,753.871534,222.7313773
7.443894972,6.972031538,,6.508527941,8.679368164,,,,,7.443894972,6.972031538,8.692551745,,0.632272543,,972.1844753,755.6045584,216.5799169
7.513175213,6.982647167,,6.570896897,8.676663718,,,,,7.513175213,6.982647167,8.68630243,,0.638501611,,975.1472293,754.518499,220.6287303
7.56286315,6.982592635,,6.629493907,8.6877645,,,,,7.56286315,6.982592635,8.690539751,,0.637546048,,975.1319982,755.2548117,219.8771865
7.637396629,6.982510537,,6.69960369,8.688648002,,,,,7.637396629,6.982510537,8.690489421,,0.637519651,,975.109068,755.2460638,219.8630042
7.68708667,6.982455603,,6.761801345,8.687249537,,,,,7.68708667,6.982455603,8.694777125,,0.636549967,,975.093725,755.9914926,219.1022324
7.763311732,7.07790842,,6.823293604,8.691349997,,,,,7.763311732,7.07790842,8.677407325,,0.683193302,,1001.935752,752.9739789,248.9617732
7.824727939,7.161325691,,6.877167672,8.691013401,,,,,7.824727939,7.161325691,8.694489184,,0.716539236,,1025.691713,755.9414217,269.7502913
7.873275954,7.188838615,,6.950501102,8.686025375,,,,,7.873275954,7.188838615,8.693832133,,0.728686868,,1033.588013,755.8271716,277.7608411
7.945562155,7.2416314,,7.069496115,8.683814406,,,,,7.945562155,7.2416314,8.692382154,,0.751856265,,1048.824507,755.5750752,293.2494315
8.015891457,7.273789767,,7.129860823,8.694698124,,,,,8.015891457,7.273789767,8.681696212,,0.767655976,,1058.160351,753.7184912,304.4418602
8.076887108,7.279619301,,7.194943839,8.692373453,,,,,8.076887108,7.279619301,8.687567516,,0.769084929,,1059.857143,754.7382935,305.1188499
8.137429746,7.309400477,,7.259941152,8.691130354,,,,,8.137429746,7.309400477,8.692407168,,0.780956379,,1068.546707,755.5794237,312.9672831
8.196731053,7.342114353,,7.31719405,8.689724426,,,,,8.196731053,7.342114353,8.687523812,,0.795767877,,1078.132863,754.7306998,323.4021636
8.256574729,7.349802092,,7.386663996,8.681641202,,,,,8.256574729,7.349802092,8.682836151,,0.799854978,,1080.391816,753.9164362,326.4753796
8.313059405,7.254311191,,7.438635253,8.693098878,,,,,8.313059405,7.254311191,8.640549149,,0.766784175,,1052.500617,746.5908959,305.9097213
8.376153773,7.197237368,,7.508117467,8.685871112,,,,,8.376153773,7.197237368,8.630004878,,0.744347716,,1036.004515,744.7698419,291.2346727
8.446341504,7.173050817,,7.564650966,8.690692214,,,,,8.446341504,7.173050817,8.63127347,,0.733736598,,1029.05316,744.9888171,284.0643433
8.50842809,7.162557466,,7.633349467,8.690140195,,,,,8.50842809,7.162557466,8.634004109,,0.728706673,,1026.044589,745.4602696,280.5843194
8.563206603,7.146434784,,7.689745066,8.695006516,,,,,8.563206603,7.146434784,8.633247631,,0.721892682,,1021.430602,745.3296465,276.1009559
8.63380287,7.128886634,,7.757863288,8.67575103,,,,,8.63380287,7.128886634,8.642024279,,0.712604174,,1016.420493,746.8458365,269.5746562
8.691040835,7.08763163,,7.819725835,8.694556882,,,,,8.691040835,7.08763163,8.640993364,,0.694810507,,1004.690442,746.6676632,258.0227792
8.761705697,7.068330541,,7.881174409,8.693725235,,,,,8.761705697,7.068330541,8.684962016,,0.67738301,,999.2259328,754.2856523,244.9402806
8.825322123,7.042133167,,7.942639669,8.692888116,,,,,8.825322123,7.042133167,8.719465136,,0.658335368,,991.8327908,760.2907226,231.5420681
8.887559535,7.042765853,,8.010358872,8.681164084,,,,,8.887559535,7.042765853,8.733879646,,0.655507117,,992.0110173,762.8065367,229.2044806
8.940954597,7.056805754,,8.071073959,8.687003709,,,,,8.940954597,7.056805754,8.739124876,,0.660759647,,995.9701489,763.7230359,232.247113
9.011908002,7.045390658,,8.131673656,8.692881171,,,,,9.011908002,7.045390658,8.735910662,,0.656261619,,992.7505904,763.161351,229.5892394
9.07729165,7.094233811,,8.198791025,8.687354177,,,,,9.07729165,7.094233811,8.739491531,,0.677613878,,1006.563067,763.7871222,242.7759451
9.139678385,7.137324706,,8.253640243,8.685033041,,,,,9.139678385,7.137324706,8.742738758,,0.696255924,,1018.828079,764.3548099,254.4732693
9.199896073,7.144171963,,8.317287577,8.637383746,,,,,9.199896073,7.144171963,8.743145444,,0.699226515,,1020.783861,764.4259225,256.3579382
9.264413586,7.129188724,,8.378766788,8.629677337,,,,,9.264413586,7.129188724,8.740469006,,0.693089113,,1016.506637,763.9579844,252.5486527
9.323735745,7.141993789,,8.445674612,8.631244139,,,,,9.323735745,7.141993789,8.747381594,,0.697387995,,1020.161506,765.1668474,254.9946582
9.392695898,7.144989975,,8.512377156,8.634177794,,,,,9.392695898,7.144989975,8.74980812,,0.69822818,,1021.017635,765.5914215,255.4262135
9.442167107,7.13162509,,8.573232052,8.633064168,,,,,9.442167107,7.13162509,8.74918057,,0.692381965,,1017.201529,765.4816064,251.7199221
9.515530861,7.149347699,,8.626835504,8.642149769,,,,,9.515530861,7.149347699,8.748250667,,0.700491083,,1022.26345,765.3188973,256.9445531
9.579030693,7.145516987,,8.699793361,8.640835722,,,,,9.579030693,7.145516987,8.745123471,,0.699422008,,1021.16826,764.7718452,256.396415
9.640731912,7.178135329,,8.754959377,8.680934358,,,,,9.640731912,7.178135329,8.753800379,,0.712171895,,1030.512536,766.2902108,264.2223252
9.689722325,7.169618156,,8.815103808,8.716841523,,,,,9.689722325,7.169618156,8.754472944,,0.708252084,,1028.06849,766.4079652,261.6605248
9.76331861,7.158095624,,8.877685069,8.732909634,,,,,9.76331861,7.158095624,8.754580889,,0.703099492,,1024.766659,766.4268654,258.339794
9.829648462,7.17478953,,8.947994756,8.739816461,,,,,9.829648462,7.17478953,8.761040764,,0.70922285,,1029.552096,767.5583527,261.9937433
9.892127331,7.177293315,,9.002889481,8.73541752,,,,,9.892127331,7.177293315,8.765843321,,0.709364053,,1030.270787,768.4000912,261.8706955
9.94073399,7.173574356,,9.06826101,8.738992106,,,,,9.94073399,7.173574356,8.765814408,,0.707712659,,1029.203381,768.3950224,260.8083585
10.00732106,7.139932932,,9.133551916,8.742602915,,,,,10.00732106,7.139932932,8.760282681,,0.693807724,,1019.572846,767.4255266,252.147319
10.05869016,7.155662147,,9.18738279,8.743796512,,,,,10.05869016,7.155662147,8.771735624,,0.69849188,,1024.070015,769.4334585,254.6365567
10.13099516,7.157225663,,9.260724286,8.739980542,,,,,10.13099516,7.157225663,8.772530823,,0.699028648,,1024.517584,769.5729705,254.9446133
10.18988827,7.151123009,,9.313457972,8.746962488,,,,,10.18988827,7.151123009,8.77261198,,0.696274403,,1022.771206,769.5872095,253.1839963
10.26114825,7.220511577,,9.385484973,8.749899592,,,,,10.26114825,7.220511577,8.769650346,,0.727778489,,1042.715749,769.067672,273.6480768
10.32107613,7.319895286,,9.446442561,8.749126335,,,,,10.32107613,7.319895286,8.776340923,,0.770073543,,1071.61734,770.2416,301.3757399
10.36994568,7.174615906,,9.507273469,8.749140472,,,,,10.36994568,7.174615906,8.77546264,,0.706210254,,1029.502268,770.0874455,259.4148226
10.4477543,7.146770094,,9.564774244,8.742944265,,,,,10.4477543,7.146770094,8.778047168,,0.693188324,,1021.526456,770.5411208,250.9853347
10.51685757,7.141918557,,9.635163657,8.753703816,,,,,10.51685757,7.141918557,8.774631323,,0.691717247,,1020.140013,769.9415485,250.1984649
10.56198634,7.136930113,,9.684145355,8.75455324,,,,,10.56198634,7.136930113,8.778759606,,0.688605204,,1018.715429,770.6662021,248.0492267
10.62912296,7.121612228,,9.752281342,8.753572228,,,,,10.62912296,7.121612228,8.784964994,,0.680362876,,1014.347215,771.7560995,242.591115
10.70150452,7.168754003,,9.819095815,8.759678189,,,,,10.70150452,7.168754003,8.776340604,,0.703408437,,1027.820679,770.2415441,257.5791351
10.80742518,6.956552364,,9.866958454,8.765858292,,,,,10.80742518,6.956552364,8.771742951,,0.606876388,,967.8724158,769.434744,198.4376718
10.8756956,6.945885717,,9.94220534,8.765813533,,,,,10.8756956,6.945885717,8.776682702,,0.600623935,,964.9065679,770.3015924,194.6049754
10.95258756,7.045881539,,10.00727339,8.760271031,,,,,10.95258756,7.045881539,8.768821642,,0.649263812,,992.8889331,768.92233,223.9666031
11.06878068,7.14637924,,10.05397121,8.771683821,,,,,11.06878068,7.14637924,8.735175899,,0.701831248,,1021.414725,763.0329799,258.381745
11.12388374,7.147169124,,10.11785054,8.772385065,,,,,11.12388374,7.147169124,8.721083931,,0.70502763,,1021.64053,760.5730494,261.0674803
11.19023185,7.12871337,,10.18171444,8.773093242,,,,,11.19023185,7.12871337,8.667907739,,0.707478921,,1016.371086,751.3262458,265.0448406
11.25654026,7.127013171,,10.25430212,8.768819392,,,,,11.25654026,7.127013171,8.542149668,,0.730559577,,1015.886335,729.6832096,286.2031252
11.31105918,7.133201109,,10.31689078,8.776416142,,,,,11.31105918,7.133201109,8.540257446,,0.733522425,,1017.651161,729.3599724,288.2911888
11.3867197,7.151699605,,10.37016954,8.775458617,,,,,11.3867197,7.151699605,8.530135951,,0.743145818,,1022.936145,727.6321934,295.3039513
11.45185654,7.155988969,,10.4413211,8.778584604,,,,,11.45185654,7.155988969,8.520959913,,0.746578778,,1024.163563,726.0675783,298.0959843
11.50690676,7.146611365,,10.50337783,8.773400323,,,,,11.50690676,7.146611365,8.513788697,,0.743916062,,1021.48108,724.8459797,296.6351003
11.56148811,7.141947827,,10.55564343,8.778173335,,,,,11.56148811,7.141947827,8.526093467,,0.739765093,,1020.148375,726.9426982,293.2056771
11.62710632,7.136317791,,10.63388162,8.785404833,,,,,11.62710632,7.136317791,8.527595329,,0.737124754,,1018.540632,727.198821,291.3418112
11.68188983,7.13159761,,10.68623819,8.776764132,,,,,11.68188983,7.13159761,8.538956739,,0.733080357,,1017.193689,729.137822,288.0558673
11.81288442,7.126434775,,10.75586276,8.774832565,,,,,11.81288442,7.126434775,8.543864005,,0.730001832,,1015.721452,729.9761213,285.7453307
11.87796956,7.127196253,,10.8074384,8.771742158,,,,,11.87796956,7.127196253,8.534676812,,0.731996184,,1015.938529,728.4070828,287.5314459
11.93219354,7.127834643,,10.8757979,8.776690106,,,,,11.93219354,7.127834643,8.539802154,,0.731334887,,1016.120534,729.2822083,286.8383256
12.06412884,7.119200693,,10.93617694,8.770770135,,,,,12.06412884,7.119200693,8.536467877,,0.728287602,,1013.66037,728.7128381,284.947532
12.12048299,7.108813935,,11.00537774,8.76255367,,,,,12.12048299,7.108813935,8.540569362,,0.723131856,,1010.704711,729.4132503,281.291461
12.18470284,7.115978663,,11.0584562,8.737450325,,,,,12.18470284,7.115978663,8.538150278,,0.726615179,,1012.743047,729.0001017,283.7429451
12.3080504,7.101958861,,11.1194392,8.724016114,,,,,12.3080504,7.101958861,8.538807363,,0.720545105,,1008.756393,729.1123118,279.6440814
12.5668152,7.075583289,,11.1826281,8.68232873,,,,,12.5668152,7.075583289,8.534640664,,0.710093874,,1001.277578,728.4009127,272.8766648
12.70294562,7.065631222,,11.26165487,8.532449475,,,,,12.70294562,7.065631222,8.543045103,,0.704261438,,998.4628913,729.8361964,268.6266949
12.81418688,7.073983535,,11.31341574,8.540629882,,,,,12.81418688,7.073983535,8.541997149,,0.708031215,,1000.824861,729.6571529,271.1677083
12.87355338,7.062498814,,11.37543103,8.531759724,,,,,12.87355338,7.062498814,8.545786816,,0.702400121,,997.5777901,730.304723,267.2730671
12.93908306,7.074409337,,11.43761576,8.522815014,,,,,12.93908306,7.074409337,8.530379932,,0.710389825,,1000.945349,727.6738178,273.2715316
13.05797562,7.05792294,,11.50874473,8.51354927,,,,,13.05797562,7.05792294,8.544763839,,0.700632629,,996.2855244,730.1298906,266.1556338
13.12260105,7.077307482,,11.56817975,8.527684971,,,,,13.12260105,7.077307482,8.541723992,,0.709502374,,1001.765624,729.6104876,272.1551364
13.18186018,7.072505704,,11.62072159,8.526271215,,,,,13.18186018,7.072505704,8.532905855,,0.709106338,,1000.406739,728.1048233,272.3019155
13.26587611,7.063951954,,11.68853962,8.540335822,,,,,13.26587611,7.063951954,8.534879302,,0.705084825,,997.9883441,728.441647,269.546697
13.30993173,7.075963449,,11.75835559,8.539499771,,,,,13.30993173,7.075963449,8.527286749,,0.71162812,,1001.385175,727.146193,274.2389817
13.37416423,7.060337749,,11.80991022,8.544346467,,,,,13.37416423,7.060337749,8.531759031,,0.704128695,,996.9673827,727.9091216,269.0582611
13.43314263,7.062224121,,11.87263087,8.534172189,,,,,13.43314263,7.062224121,8.529786968,,0.705305365,,997.5001907,727.5726572,269.9275335
13.51668205,7.063253865,,11.93272045,8.539851958,,,,,13.51668205,7.063253865,8.529272502,,0.705841478,,997.7911031,727.4848941,270.306209
13.55640517,7.054808998,,12.01262079,8.532719094,,,,,13.55640517,7.054808998,8.538864487,,0.700419219,,995.4065999,729.1220672,266.2845327
13.62083272,7.046363517,,12.12505261,8.540901941,,,,,13.62083272,7.046363517,8.530441457,,0.698401786,,993.0247761,727.6843146,265.3404616
13.68844628,7.063472387,,12.18703734,8.538042588,,,,,13.68844628,7.063472387,8.54248924,,0.703442404,,997.8528432,729.7412241,268.1116191
13.81361853,7.245510462,,12.26081775,8.522386429,,,,,13.81361853,7.245510462,8.525802515,,0.783091828,,1049.948437,726.8930852,323.055352
13.86860708,7.259115967,,12.31008361,8.539514228,,,,,13.86860708,7.259115967,8.543685377,,0.78571803,,1053.895292,729.9455982,323.9496942
14.06149895,7.320299923,,12.3709918,8.544015124,,,,,14.06149895,7.320299923,8.524571772,,0.814212869,,1071.735819,726.6832389,345.0525804
14.12108614,7.352901813,,12.43181592,8.548553013,,,,,14.12108614,7.352901813,8.530194073,,0.826715934,,1081.303301,727.6421093,353.6611922
