"TIEMPO, HRS",LECTURA CABEZA,,"TIEMPOS, HRS",LECTURA LINEA,,,DATOS PARA LA MEDICIÓN,,,,"INTER TIME, HRS",INTER LECTURA CABEZA,INTER LECTURA LINEA,,"GASTO, MMPCD",,PRESIÓN CABEZA,PRESIÓN LINEA,Delta P,,,,,,,,,"GASTO PROMEDIO,  MMPCD"
3.451821025,7.198657783,,3.443151416,8.538838044,,,,,,,3.443151416,7.198099989,8.538838044,,0.761084148,,1036.252869,729.1175515,307.1353174,,,,,,,,,
3.515292541,7.204327651,,3.513899625,8.535117207,,,,,,,3.513899625,7.204203223,8.535117207,,0.764286627,,1038.010881,728.4822574,309.528624,,,,,,,,,
3.577976896,7.214839358,,3.575394231,8.53579248,,,,,,,3.575394231,7.214406264,8.53579248,,0.768433061,,1040.953155,728.5975327,312.3556222,,,,,,,,,
3.633216333,7.207346115,,3.636876117,8.536473351,,,,,,,3.636876117,7.206175332,8.536473351,,0.764875516,,1038.579258,728.7137727,309.8654856,,,,,,,,,
3.702414902,7.185209134,,3.698345126,8.537159886,,,,,,,3.698345126,7.186511077,8.537159886,,0.756521925,,1032.918829,728.8309892,304.08784,,,,,,,,,
3.758013272,7.178390781,,3.759635822,8.539012793,,,,,,,3.759635822,7.17840752,8.539012793,,0.752794965,,1030.590691,729.1473947,301.4432958,,,,,,,,,
3.823382813,7.179065167,,3.819965003,8.5470218,,,,,,,3.819965003,7.179029907,8.5470218,,0.751638169,,1030.769408,730.5158164,300.2535916,,,,,,,,,
3.884848395,7.195906105,,3.884189563,8.539565563,,,,,,,3.884189563,7.195725592,8.539565563,,0.759962234,,1035.569336,729.2418001,306.3275358,,,,,,,,,
3.949998667,7.196641928,,3.944360497,8.547644195,,,,,,,3.944360497,7.196578249,8.547644195,,0.758902385,,1035.81477,730.6222129,305.1925569,,,,,,,,,
4.014940854,7.198887152,,4.0121151,8.560659064,,,,,,,4.0121151,7.198789458,8.560659064,,0.757536135,,1036.451393,732.8488361,303.6025571,,,,,,,,,
4.073538108,7.186384583,,4.075267637,8.560828268,,,,,,,4.075267637,7.186165497,8.560828268,,0.752188023,,1032.819491,732.8778064,299.9416845,,,,,,,,,
